Podjetja po obèinah, Slovenija, letno;;;;;;;;;;;;
;;;;;;;;;;;;
OBÈINE;2008 Prihodek [1000 EUR];2009 Prihodek [1000 EUR];2010 Prihodek [1000 EUR];2011 Prihodek [1000 EUR];2012 Prihodek [1000 EUR];2013 Prihodek [1000 EUR];2014 Prihodek [1000 EUR];2015 Prihodek [1000 EUR];2016 Prihodek [1000 EUR];2017 Prihodek [1000 EUR];2018 Prihodek [1000 EUR];2019 Prihodek [1000 EUR]
SLOVENIJA;95786283;83060213;86705208;90789676;90754575;90625516;93571789;95298760;98573630;108840205;117040613;121356615
Ajdovšèina;778127;612078;602787;560707;451104;395043;423106;441099;482964;547554;613954;703624
Ankaran/Ancarano;-;-;-;-;-;-;-;48909;59416;64628;62157;65418
Apaèe;21345;20135;19794;23888;25993;26230;23143;21935;23961;24932;24167;27489
Beltinci;131221;106944;62714;68057;74427;73157;81680;84634;73672;86893;100032;103717
Benedikt;11730;10813;12118;13002;13597;15049;18844;18735;18440;23536;26953;27658
Bistrica ob Sotli;6559;7964;7602;7160;6689;6773;8484;7863;9451;9060;9384;10954
Bled;279478;219902;226920;277903;273544;205345;211105;200058;224769;251585;276325;257910
Bloke;32455;25071;23087;20272;13992;9206;15273;12927;17274;20157;21726;19106
Bohinj;47935;56465;59450;61377;57125;59950;64539;69350;80601;92003;104137;110005
Borovnica;54383;46103;53882;58201;55068;56809;64671;61741;63774;73258;80404;79670
Bovec;84917;74658;72686;78326;102909;99835;93670;103163;110760;129840;137207;144481
Braslovèe;62865;51492;55408;60657;66555;66671;66769;70742;73370;78238;84181;92746
Brda;49757;50367;51428;56773;61300;63989;70829;78423;88472;92241;96262;109458
Brezovica;176123;152043;160559;179695;197705;199683;218967;238699;271879;347556;438682;499091
Brežice;375985;337634;367313;400378;404821;421764;420875;450690;499677;507012;569539;594381
Cankova;15353;11938;13315;15442;13359;12596;12099;12093;11608;15888;17228;18831
Celje;3606916;3248540;3340000;3495404;3291321;3179620;3215114;3262055;3398242;3696104;3902064;4132461
Cerklje na Gorenjskem;183725;168237;347287;376033;375907;408307;460504;495324;488908;509846;565920;585437
Cerknica;288677;257697;261729;277795;301913;321765;331717;343601;354084;356107;360758;354622
Cerkno;131414;112156;112881;103174;102295;93278;87714;90756;95959;93658;96922;90120
Cerkvenjak;10652;10760;10667;11543;11444;12360;13665;13649;15166;20384;22934;24963
Cirkulane;8625;7425;8036;10482;10784;11174;11258;11241;13494;14779;16853;17721
Èrenšovci;38661;35662;41691;41631;37949;34312;34768;38216;47530;44030;40988;41606
Èrna na Koroškem;62076;49660;66211;69202;64767;72982;76211;82561;79625;100145;103596;99502
Èrnomelj;408459;289144;321239;283384;253657;229448;202254;193849;208552;236241;263745;283349
Destrnik;12281;13030;14605;17023;18467;18838;19088;19205;20160;22262;29036;29474
Divaèa;29570;28127;26492;31798;33011;44325;52722;57496;68008;75903;90766;98284
Dobje;16501;16895;17316;20840;20495;21005;21209;22748;24895;27147;25274;26465
Dobrepolje;57862;53823;54558;59167;54734;52186;52864;53410;55304;64095;68411;65267
Dobrna;18527;18255;18909;19606;19329;19965;21015;22683;23543;26835;29715;32355
Dobrova - Polhov Gradec;103119;90263;90750;102256;113239;86895;93712;98186;105647;113632;134886;139691
Dobrovnik/Dobronak;10887;10328;12709;12647;15775;23008;15083;14106;13653;14167;14545;16083
Dol pri Ljubljani;225362;190753;183786;183912;180454;185739;191709;198471;203685;222037;239879;248384
Dolenjske Toplice;21670;19331;19186;20525;21100;24117;25151;25263;24903;28446;32619;35601
Domžale;1103419;903702;1024221;1073026;1075256;1071795;1174536;1218254;1260538;1347316;1420305;1493619
Dornava;29944;27277;28203;29463;30599;29069;27378;26759;27336;29698;33201;32326
Dravograd;276730;231559;227225;240825;209641;203420;198227;192210;176636;200896;210019;225446
Duplek;39966;35156;34957;39022;38153;39747;45693;47884;47683;52529;56695;61667
Gorenja vas - Poljane;70734;66570;69714;76853;82149;95101;99703;101442;108823;120856;133375;138931
Gorišnica;44901;39775;43711;51216;52874;55634;56918;55060;55306;59427;65305;67017
Gorje;18576;18004;20314;22542;21833;22585;22182;26589;28902;31910;33695;39715
Gornja Radgona;368650;306078;317711;337119;344013;337498;363070;373452;408493;421929;461681;496322
Gornji Grad;38727;35509;36507;37162;34110;30117;23395;14703;17963;15130;19532;21892
Gornji Petrovci;7686;8768;6765;7242;7810;7715;8223;8091;8978;8266;9003;9105
Grad;5451;5465;5841;6647;6420;6711;8299;8235;9698;9410;10744;10461
Grosuplje;597502;496309;504305;525497;510302;514244;553500;571896;646853;742793;827989;860317
Hajdina;112829;39733;31498;37652;48030;48180;51376;52936;54385;57623;70769;75324
Hoèe - Slivnica;423169;357346;337575;367548;380904;367594;359379;369865;391697;453058;520835;528780
Hodoš/Hodos;737;911;859;74;60;182;134;101;164;214;214;238
Horjul;61042;52629;58012;63672;58157;54538;59814;63311;67068;73328;79547;84845
Hrastnik;136986;116245;117622;133518;127247;128807;123820;137800;132470;142426;151047;159800
Hrpelje - Kozina;172229;132335;120412;135932;136041;104063;120101;124600;133521;135321;157280;156528
Idrija;642522;529539;607242;721136;703461;713805;747884;751663;751564;823250;712997;709165
Ig;104582;98425;99069;102782;102933;82894;83781;95555;98291;111946;123582;114163
Ilirska Bistrica;276922;241145;264856;287686;297638;299244;311022;321050;317940;361849;387185;378807
Ivanèna Gorica;301228;250405;287497;310250;300290;324439;359445;356239;372913;425061;440102;455886
Izola/Isola;323482;305906;326623;342175;308060;304117;306361;325654;330702;346432;368497;383697
Jesenice;891230;576682;745106;841531;835082;778994;870925;800799;794885;901190;956396;960565
Jezersko;18173;13441;19054;16062;13918;6304;6285;7254;6713;10020;8984;7727
Juršinci;7330;6715;6280;7402;8051;8209;9258;8897;9314;9996;11254;11506
Kamnik;566383;490322;509950;545542;532273;555337;587309;636836;677533;759617;829196;903289
Kanal;145664;116099;94693;95017;97272;89276;93623;93615;99827;122302;141336;156712
Kidrièevo;531506;342223;417174;601092;576009;610704;652587;670784;629290;695077;729220;682368
Kobarid;51771;47202;50899;65997;50983;50873;52892;54131;57320;62413;66761;64064
Kobilje;1216;1177;1206;1409;1524;1298;2351;2158;2442;2549;2759;3054
Koèevje;282647;235338;253698;257478;247405;246448;262691;263365;299703;348659;409806;393855
Komen;52863;46311;40792;41408;39126;36278;37204;39181;39825;49053;60708;62992
Komenda;295471;337570;374654;388017;447832;494399;575412;616237;661670;743967;821952;920532
Koper/Capodistria;3868735;3107323;3312343;3437531;3396342;3578369;3600475;3557762;3592220;3888931;4336916;4379020
Kostanjevica na Krki;53197;43372;51377;53899;51862;58802;61033;65056;61128;68054;67809;69622
Kostel;6371;6972;7467;7711;6980;5754;5038;5616;6559;8013;8650;8559
Kozje;20299;19728;25119;25730;29508;27412;28275;27182;28446;31121;26658;31155
Kranj;2291231;1954633;2147531;2120164;2070502;2070930;2167294;2152997;2170877;2379117;2575798;2675825
Kranjska Gora;76315;83618;60084;57631;57809;59079;58759;71552;72109;76713;83657;90167
Križevci;65806;60631;68520;74226;69793;83840;144188;138197;150940;135548;67410;77907
Krško;1292734;1330421;1445411;1944622;2441786;2175507;2246241;2708892;2616163;3488168;3556971;3399741
Kungota;81276;67000;67590;62616;75687;60033;64244;59684;54685;60061;64426;72438
Kuzma;7241;7314;8361;9416;10200;10743;11516;12577;12935;13349;14182;14597
Laško;323562;287615;289537;300911;284944;290079;282648;274228;179077;198333;215206;218867
Lenart;281092;250601;281832;322691;336324;298508;297337;270585;267592;287184;297830;294664
Lendava/Lendva;251723;207201;228892;202391;204769;196999;212146;174592;199492;211819;238042;289803
Litija;190341;165517;174754;188540;187943;195490;211112;218739;226572;245273;275214;305543
Ljubljana;35530992;31733250;32873724;33955978;34571856;35052964;35587756;36036506;37349469;40708652;43844971;45504300
Ljubno;77842;80596;89731;95006;97626;100916;109304;121574;129687;144843;147371;156769
Ljutomer;253993;218625;220694;236976;229495;219936;242867;249913;259630;272856;313949;332455
Log - Dragomer;41496;33746;31896;34129;29419;29584;30742;30335;33112;37091;36753;39139
Logatec;331350;285707;329749;357580;374646;383602;447014;416205;402900;450552;497881;524354
Loška dolina;114524;91441;98713;100863;92698;97955;92555;84990;84213;85504;120363;109158
Loški Potok;17944;10990;11872;13099;11326;12123;13849;15054;15990;14922;16958;20077
Lovrenc na Pohorju;22898;20603;20382;21117;20501;21217;21482;24631;26309;26006;29188;38350
Luèe;25370;18409;19138;23130;26747;31168;42579;32483;34443;41692;45725;44370
Lukovica;223208;232918;250294;281137;326857;360318;404507;451958;474914;529142;559710;601668
Majšperk;35444;36659;28695;22504;26068;22338;25463;23066;23396;21652;23090;24483
Makole;13868;12013;11546;11111;10042;9611;10176;11581;12980;14310;16337;18195
Maribor;5925680;5149012;5240284;5282024;5076915;5169180;5358422;5328618;5332577;5696036;6073745;6330245
Markovci;46492;40666;42029;43539;46963;48604;54475;59904;69311;80326;83662;89437
Medvode;393179;367589;328993;368915;378932;375146;392072;411497;438208;454714;498871;517144
Mengeš;316634;256967;254530;247682;197070;185635;214088;216186;268533;280451;283224;318181
Metlika;228168;207402;211854;213647;198601;203001;205281;192923;203496;220006;227941;235207
Mežica;160043;127915;175576;204727;209708;220040;250209;301705;326308;364814;376822;383616
Miklavž na Dravskem polju;89632;78953;81848;89397;100091;84805;86494;88945;100499;90409;94164;101629
Miren - Kostanjevica;117415;94927;99646;102185;96958;90010;86506;84272;102451;129383;136155;128193
Mirna;-;-;-;-;49370;51329;62749;70791;76442;82020;101855;102518
Mirna Peè;11839;9357;8508;13137;11889;16369;17345;22130;25637;32674;36115;33265
Mislinja;41068;32620;31437;35319;36428;38341;40139;41324;45625;49446;51253;49603
Mokronog - Trebelno;53178;43218;28913;29372;29969;31199;37186;37125;37079;39482;45375;45719
Moravèe;39554;35377;40516;46466;48345;42420;50052;49710;51485;59107;64855;65128
Moravske Toplice;49223;47621;48239;29748;29522;30688;34179;34185;34746;40202;44326;47837
Mozirje;47266;45428;50158;79689;58693;58553;51738;44894;47327;51781;55040;59597
Murska Sobota;1170411;966388;938210;1057028;1157900;1127982;1246383;1049275;1081433;1189463;1325616;1321279
Muta;96129;67653;75188;88975;82886;86544;94324;94836;101404;111821;125152;127314
Naklo;1132422;753566;515209;431967;474468;419855;419631;428603;466227;486351;519950;528488
Nazarje;279128;284761;318119;380507;361532;404500;326107;327510;339087;402515;377024;408016
Nova Gorica;1366626;1189538;1192465;1139330;1079975;1076239;1131848;1188855;1193266;1342501;1433653;1492307
Novo mesto;3730652;3611148;3816457;3732237;3574253;3310555;3536319;3671748;3758013;4595499;4978040;5223645
Odranci;10862;30014;43940;75600;106028;100807;105472;127266;164820;215573;208349;235217
Oplotnica;29923;29061;31956;32014;30560;30129;32523;35249;38095;41236;42481;45382
Ormož;224769;193104;206396;203389;202297;211419;214325;190990;202207;174370;197250;196018
Osilnica;2414;2509;2914;1972;1639;1161;1131;1262;1357;1380;1424;1202
Pesnica;120702;77934;88069;92744;96680;94442;95300;95851;106956;117877;113614;135102
Piran/Pirano;496741;398858;393144;379138;361494;365560;364394;370884;407640;427317;413413;434732
Pivka;185504;155622;181804;196514;186956;182618;191305;178756;199840;232998;273164;259436
Podèetrtek;71494;60844;63527;73956;66975;73463;79211;76382;79992;89205;96543;103646
Podlehnik;16805;15293;15861;16037;15406;15628;18277;18324;19395;22392;24273;24530
Podvelka;19194;18897;20657;26516;27489;30174;40422;43535;56620;51274;67003;55388
Poljèane;60280;52216;58263;60020;60306;63932;60698;57376;62101;70962;73391;75126
Polzela;102960;88035;87658;86173;77257;73138;77020;91298;103099;124212;116126;127580
Postojna;405555;349490;378902;395621;362219;388838;489374;528011;494635;470297;491619;507605
Prebold;120037;117400;174533;226157;239707;236883;236077;257323;278933;309925;342318;367062
Preddvor;31172;36989;46824;42610;43868;40829;43063;45149;45378;47843;52590;172386
Prevalje;101591;87236;79191;90481;96716;94618;101869;115130;107697;114548;122134;131997
Ptuj;952438;802729;784917;811484;808620;835734;894416;896912;913482;994687;1056702;1106428
Puconci;62911;62858;67494;70878;84691;94703;91689;79915;91408;109546;111002;121857
Raèe - Fram;118284;101008;117468;84362;79318;83509;82457;80067;94357;121133;133237;150249
Radeèe;96597;87632;91907;84812;46829;40084;58313;75494;76331;86033;83612;85927
Radenci;83125;78152;80048;70005;71038;69331;71272;75029;78829;84667;94340;94836
Radlje ob Dravi;105367;89841;93169;109591;107109;104111;111623;116356;121223;131100;145800;148557
Radovljica;487122;439719;474749;496559;488058;486972;496191;534383;586844;639610;683241;704728
Ravne na Koroškem;573047;401264;456686;577197;581294;503037;511687;512445;522723;583221;537950;537359
Razkrižje;7994;6954;7337;7649;8457;8502;8772;9456;9839;10986;7356;8541
Reèica ob Savinji;38031;32795;31628;31360;33711;34456;39787;38615;41492;46616;40664;42583
Renèe - Vogrsko;189985;165756;179684;190958;200989;200866;193679;195963;201680;221388;229259;255067
Ribnica;192774;168899;193469;214059;224115;230439;239482;252730;269366;289003;336153;335831
Ribnica na Pohorju;4966;4121;4724;4455;3965;4172;3869;3925;3944;4312;4518;4626
Rogaška Slatina;236630;201535;218261;241158;233182;231638;256791;274655;284924;290819;329827;492741
Rogašovci;14528;9037;9790;10799;9528;10185;13669;13713;13931;15882;17755;17142
Rogatec;23732;23777;26747;29987;30264;34686;37365;40287;42918;47376;43183;41406
Ruše;188275;151117;165761;177408;192401;193370;194700;207029;228556;225180;252282;257976
Selnica ob Dravi;73288;70262;75168;71626;66405;47684;44441;44324;44855;50410;53569;56687
Semiè;65016;66592;45091;46288;46237;46873;46684;57301;66488;74261;61491;59629
Sevnica;327260;289158;291637;290669;273821;278317;303052;312585;324565;360518;391049;405031
Sežana;632702;525233;533984;563649;478948;460380;489683;495362;538022;633376;740210;718683
Slovenj Gradec;798182;606272;573676;570140;556654;551176;544676;544785;569570;622987;719856;737826
Slovenska Bistrica;1190150;902229;1100414;1213453;1151299;1116585;1162861;1246111;1245658;1449554;1588176;1612622
Slovenske Konjice;380208;315390;350773;393671;393676;382470;408175;405266;429667;476048;500699;497807
Sodražica;25760;18110;17888;18068;20735;23133;23258;20803;18009;18126;19374;20467
Solèava;6089;3383;4035;5083;5084;5391;6380;6668;8323;8103;10241;13037
Središèe ob Dravi;24642;19596;23676;29184;28481;27715;32464;31179;38228;40310;34312;37206
Starše;19945;18651;21094;26911;23182;22243;24155;23445;25445;29399;29115;32557
Straža;73965;60521;68708;54562;42687;45798;50690;54774;66031;79611;91440;95295
Sveta Ana;4290;4901;6194;5015;6012;6710;7391;6883;21279;22335;30071;23353
Sveta Trojica v Slov. goricah;11988;10560;10996;15554;15477;13262;14658;15210;15692;18147;19571;20678
Sveti Andraž v Slov. goricah;4853;3632;4397;5315;5369;6589;6012;7206;6591;7808;7244;6071
Sveti Jurij ob Šèavnici;14189;14179;14349;16833;17084;18098;20802;21710;20149;26781;25748;25529
Sveti Jurij v Slov. goricah;13307;14691;17096;19815;23593;29006;29973;29113;21319;24682;30268;30240
Sveti Tomaž;2652;2606;2534;2767;2814;3181;3323;3182;2941;3580;4108;4902
Šalovci;2573;3400;4213;3513;3223;3659;3832;3834;4244;4019;3961;3915
Šempeter - Vrtojba;502105;343491;439814;501505;475003;436697;467758;461555;495690;578385;591605;607943
Šenèur;288040;251236;283471;323318;306180;277806;263501;273062;282806;322257;353234;372832
Šentilj;136751;144284;148226;144289;132998;135352;135801;139096;140406;147641;148263;143892
Šentjernej;107722;90876;100653;105876;108940;110281;116830;127471;144077;156903;172983;170688
Šentjur;423621;350729;329658;332145;320296;343699;383406;391977;410522;453174;515503;543264
Šentrupert;53342;44505;52483;54451;45910;46102;50958;57664;62720;68388;75944;86354
Škocjan;35849;33313;36986;33561;31955;33327;37398;33816;34918;40953;44998;49974
Škofja Loka;748092;630517;602291;670635;742622;794053;848635;910686;981582;1069329;1172238;1219569
Škofljica;161659;144191;150467;215817;205323;214885;198363;223731;239358;254331;276802;288156
Šmarje pri Jelšah;182370;175836;191425;206371;218166;227033;254752;266510;280836;314308;340451;217186
Šmarješke Toplice;34356;23587;29552;35161;34850;37517;40915;44011;50396;59016;66677;71807
Šmartno ob Paki;24176;21413;25138;25623;28912;27508;31947;34403;31517;36211;34939;37638
Šmartno pri Litiji;73376;60461;65310;71380;70240;68368;70967;71046;73991;85631;96036;101947
Šoštanj;374454;343112;366551;363184;418034;521807;459071;284638;323118;331805;338059;381074
Štore;254599;141106;194383;240128;228604;219157;230845;237231;227447;273779;294875;290437
Tabor;8111;6175;5540;4265;4631;4788;5974;5668;6361;9123;7712;8088
Tišina;15175;14312;13843;14605;13992;13237;14847;14874;15719;16298;16776;16668
Tolmin;277962;237623;278882;299228;303225;288410;283268;294245;312965;336040;304935;313452
Trbovlje;429364;369563;353100;366858;351716;317528;307464;280789;318728;328761;367555;371438
Trebnje;571627;445804;461320;500995;437903;401526;429289;496829;561554;595699;680367;715387
Trnovska vas;5108;5221;5495;6622;4689;4194;3954;4017;4118;4495;5265;6410
Trzin;1048461;921983;915344;937053;884905;800019;768524;836772;821716;879585;996660;1068497
Tržiè;219804;205830;226430;214375;208548;198668;225084;241137;237722;263695;278163;286375
Turnišèe;49086;49138;51013;53955;54116;59052;68402;72251;73867;80367;92160;91222
Velenje;1871520;1533233;1474470;1497511;1441825;1408148;1413482;1383213;1411668;1566524;1625428;1662882
Velika Polana;4361;5022;4532;3811;3433;3193;3367;3694;3716;6658;8552;8918
Velike Lašèe;35902;31635;34554;37462;39778;31124;34079;35104;41192;44300;50019;50442
Veržej;15889;12618;13103;13735;14439;13299;17370;20943;20551;23127;22355;23237
Videm;18763;19043;20095;21232;24161;28804;34703;30280;29212;35796;35823;39319
Vipava;109848;97214;102421;114606;112834;111474;119346;125714;129836;149246;164160;180101
Vitanje;15293;12647;13992;15624;14594;13661;15453;15108;16334;18483;20465;22751
Vodice;78560;65050;70408;67771;72299;66416;67640;72386;76883;84452;99747;104206
Vojnik;104508;98090;93515;107989;107464;115851;129754;134786;142411;155474;173713;169140
Vransko;52738;41283;40000;47171;40324;36134;39519;38148;43893;48893;53863;57143
Vrhnika;291385;247534;266360;314655;293963;346596;344972;354345;377787;412753;475568;504580
Vuzenica;45267;35620;36549;40597;43750;46529;47886;25892;29260;36997;42323;40351
Zagorje ob Savi;360191;319301;349246;353251;331858;322132;313430;311187;329647;353728;378930;403815
Zavrè;3876;3731;5450;8524;9861;15963;12868;17294;15809;16549;20839;24809
Zreèe;333111;268567;256164;302037;306064;330145;333036;347080;374272;405239;436825;452654
Žalec;769635;646328;665735;691863;657922;634167;683789;712293;767099;850938;927690;960904
Železniki;170881;145246;160251;173421;169617;172637;194062;211417;240002;266583;289261;289400
Žetale;4940;4879;3561;3959;4101;5032;4438;4828;5060;5323;5732;5695
Žiri;193910;165862;176414;196279;192604;196663;206233;209631;212505;236381;262723;276784
Žirovnica;36460;35777;32160;38672;43834;46870;43041;43176;44686;49911;55659;54656
Žužemberk;38095;34592;40656;49468;45671;46652;47898;47780;49103;60036;68541;78494
